Code,Consignee Name,Customs Importer Classification,Primary Address,Delivery Address,primary_address,Primary Contact,Default UNLOCO
OPTJSCAFE,OPTICOELECTRON GROUP JSC,,,,,,BGSOF
HOMPOTLPT,HOME POTTERY,,,,,,THLPT
DSEMORXIP,DSE MORTAR TRADING,,,,,,CNXIP
SMPHARPET,SM PHARMACEUTICALS SDN. BHD.,,,,,,MYPET
GREARRMNL,GREEN ARROW ENTERPRISES INC.,,,,,,PHMNL
VALMELMNL,VALCO MELTON PHILIPPINES INC,,,,,,PHMNL
GELEVEAFE,GEL EVENTS PTY LTD,,,,,,AUVIC
AMABUKMNL,AMARI’S BUKO TART HAUS,,,,,,PHMNL
MERCONMNL3,MERCURY CONGRESSIONAL,,,,,,PHMNL
FREUGEMNL,FR. EUGENE ELIVERA,,,,,,PHMNL
HANINTSHG,"HANBING INTERNATIONAL TRADE (JIANGSU) CO., LTD.",,,,,,CNSHG
TOPLINMNL1,"TOP LINE88 DISTRIBUTION , INC.",,,,,,PHMNL
SENINDMAO,SENSE INDUSTRIA DE BICICLETAS,,,,,,BRMAO
VANTAGTHN,VANTAGEO PVT LTD,,,,,,INTHN
PALMACAFE,PALTRONICS MACCAU LIMITED,,,,,,MOMFM
LIVDREMNL,LIVING DREAMS OPC,,,,,,PHMNL
ALPCOOJPU,PT. ALPINE COOL UTAMA,,,,,,IDJPU
GUIADRMNL,"GUINTU, ADRIAN DIONISIO",,,,,,PHMNL
CHLEADMNL,CH-LEAD INDUSTRIAL SUPPPLY,,,,,,PHMNL
APOOPTSIN,APOLLO OPTICAL PTE. LTD,,,,,,SGSIN
YASCONCGY,YASHIKA CONSUMER GOODS TRADING,,,,,,PHCGY
IDEPHIMNL,"IDEMIA PHILIPPINES,INC.",,,,,,PHMNL
JERLOGQDG,JERRY LOGISTICS,,,,,,CNQDG
CARCONGRG,CARRON CONTRACTS LTD.,,,,,,GBGRG
FREMARSEK,FREIGHT MARK ASIA (M) SDN BHD,,,,,,MYSEK
COFFAIMNL,COFFAI CORPORATION,,,,,,PHMNL
HIWTECAFE,HIWIN TECHNOLOGIES CORP.,,,,,,TWTPE
PROPFSCMB,PROJECT PFS (PVT) LTD.,,,,,,LKCMB
ALTCUSMNL,ALTAEXPRESS CUSTOMS BROKERAGE,,,,,,PHMNL
GLOGALMNL,GLOBAL GALAXY DISTRIBUTION INC.,,,,,,PHMNL
PREWINMNL1,PREMIER WINE AND SPIRITS INC.,,,,,,PHMNL
SZHENGSZX,"SZ HENGYI INDUSTRIAL CO.,LTD",,,,,,CNSNZ
SANMANMNL1,SAN MANUEL BESS SITE,,,,,,PHMNL
ENERKLSCO,ENERGY RK LLP,,,,,,KZAAU
NORMINCGY,NORTHERN MINDANAO MEDICAL CENTER,,,,,,PHCGY
JPPCARMNL,JPP CARGO LOGISTICS INC.,,,,,,PHMNL
AZEKRICEB,AZEIL KRIS CERNA SOLUTAN,,,,,,PHCEB
NCHARDAFE,NC HARDROCK TRADING COMPANY,,,,,,PHCEB
EMPTECMFM,EMPIRE TECHNOLIGICAL GROUP LTD.,,,,,,MOMFM
YANWEPYNT,"YANTAI WEPOWER ELECTRONICCO., LTD.",,,,,,CNYAT
HUAGUABKK,HUA GUANG WELDING ADVANCED MATERIALS THAILAND CO.LTD.,,,,,,THBKK
ADARADMNL,ADAPTIVE RADIOS CORPORATE CENTER CORPORATE AVE,,,,,,PHMNL
NXLOGIMNL2,"NX LOGISTICS PHILIPPINES,INC",,,,,,PHMNL
TANENTMNL2,TANTUCO ENTERPRISES,,,,,,PHMNL
TEALOGBOM,TEAMGLOBAL LOGISTICS PVT LTD,,,,,,INBOM
MAGINTMNL1,MAGURA INTERNATIONAL MARKETING,,,,,,PHMNL
